sheet,row_id,Chagatai (chg_Arab),Chagatai Latin (chg_Latn),English (eng_Latn),Kazakh (kaz_Cyrl),Russian (rus_Cyrl),Uzbek (uzn_Latn),Turkish (tur_Latn),source_text,source_lang,type,length,Unnamed: 0
Ch 7,177,حد جنوبى باقى آخوندنينک باغي غە متصل فاصل قر,Ḥadd-i canūb Bāq Āḫūndnıñ bāğıǧa mutaṣṣıl fāṣıl qır,"To the south, it abuts Baqi Akhund’s orchard boundary, a low dyke of soil.",Оңтүстік шегі Бақи ахунның бағына жапсарлас бөлуші қыр,"Южная граница прилегает к саду Баки Ахунда, разделитель - межа",Haddi janub Boqi Oxundning bog'iga muttasil fosil qir,"Cenup haddi Baki Ahund'un bağına muttasıl, fasıl kır",Ḥadd-i canūb Bāq Āḫūndnıñ bāğıǧa mutaṣṣıl fāṣıl qır,chg,sentence,8,
Ch 7,178,حضار المجلس ثابت ميراب ممت آخوند محمد على آخوند شاهددور,Ḥużāru'l-mäclis S̱ābit Mı̇̄rāb Mämät Āḫūnd Muḥammad ʿAl Āḫūnd şāhiddür,"Witnesses: Sabit Mirab, Mämät Akhund, and Muḥammad Ali Akhund.","Мәжіліске қатысушылар: Сәбит мираб, Мәмет ахун, Мұхаммед Әли ахун куәдүр","Присутствующие на собрании свидетели: Сабит Мираб, Мамат Ахунд, Мухаммад Али Ахунд","Majlis ahli Sobit Mirob, Mamat Oxund, Muhammad Ali Oxund shohiddir","Meclis huzuru Sabit Mirab, Mamat Ahund, Muhammed Ali Ahund şahittir",Ḥużāru'l-mäclis S̱ābit Mı̇̄rāb Mämät Āḫūnd Muḥammad ʿAl Āḫūnd şāhiddür,chg,sentence,9,
Ch 8,14,غە ... قدر,...-ǧa qadar,up to ...,...-ға дейін,до ...,...-ga qadar,...-a kadar,...-ǧa qadar,chg,phrase,2,
Ch 8,31,بر نچە,bir neçe,some,бірнеше,несколько,bir necha,birkaç,bir neçe,chg,phrase,2,
Ch 8,47,... غە اوت ياق-,...-ǧa ot yaq-,to set … on fire,...-қа от қою,поджигать ...,...-ga o't qo'ymoq,...-i ateşe vermek,...-ǧa ot yaq-,chg,phrase,3,
Ch 8,51,سکز تاش,Segiz Taş,Sakkiz Tash,Сегіз Тас,Секкиз Таш,Sakkiz Tosh,Sekiz Taş,Segiz Taş,chg,phrase,2,
Ch 8,52,سکز تاش,Segiz Taş,Eight Stones,Сегіз Тас,Восемь камней,Sakkiz Tosh,Sekiz Taş,Segiz Taş,chg,phrase,2,
Ch 8,55,... دين زيادە,...-dın ziyāda,more than ...,...-дан астам,более чем ...,...-dan ziyoda,...-den fazla,...-dın ziyāda,chg,phrase,2,
Ch 8,60,ينکى شهر,yañı şahar,New City,Жаңашаһар,Новый город,Yangishahar,Yenişehir,yañı şahar,chg,phrase,2,
Ch 8,62,بش آتار,beş atar,five-shooter pistol,бес атар,пятизарядный пистолет,besh otar,beşli,beş atar,chg,phrase,2,
Ch 8,63,اون آتار,on atar,ten-shooter pistol,он атар,десятизарядный пистолет,o'n otar,onlu,on atar,chg,phrase,2,
Ch 8,75,تونکانلار طرفيدين آتيلدى,Tunganlar ṭarafıdın atıldı,He was shot by the Dungans.,Дүнгендер тарапынан атылды.,Он был застрелен дунганами.,Dunganlar tomonidan otildi.,Dunganlar tarafından vuruldu.,Tunganlar ṭarafıdın atıldı,chg,phrase,3,
Ch 8,77,عسکارلار طرفيدين اولتورولدى لار,ʿAskerler ṭarafıdın öltürüldiler,They were killed by soldiers.,Сарбаздар тарапынан өлтірілді.,Они были убиты солдатами.,Askarlar tomonidan o'ldirildilar.,Askerler tarafından öldürüldüler.,ʿAskerler ṭarafıdın öltürüldiler,chg,phrase,3,
Ch 8,78,کچيک بولغانيم دە,kiçik bolǧanımda,When I was small.,Кішкентай болғанымда.,Когда я был маленьким.,Kichik bo'lganimda.,Küçük olduğumda.,kiçik bolǧanımda,chg,phrase,2,
Ch 8,79,شمالدين يانغان ملالار,şimāldın yanǧan mollālar,The mullahs returned from the north.,Солтүстіктен оралған молдалар.,"Муллы, вернувшиеся с севера.",Shimoldan qaytgan mullalar.,Kuzeyden dönen mollalar.,şimāldın yanǧan mollālar,chg,phrase,3,
Ch 8,80,عسکرلر اتيلغاندين کين,ʿaskerler atılǧandın keyin,after the soldiers were shot,Сарбаздар атылғаннан кейін.,"После того, как солдаты были застрелены.",Askarlar otilgandan keyin.,Askerler vurulduktan sonra.,ʿaskerler atılǧandın keyin,chg,phrase,3,
Ch 8,81,باغنی الامن ديکان يدە,Bāǧnı alamın degenide,"When he said, “I am taking the orchard.”",Бақты аламын дегенде.,Когда он сказал: «Я заберу сад».,Bog'ni olaman deganida.,Bağı alacağım dédiğinde.,Bāǧnı alamın degenide,chg,phrase,3,
Ch 8,82,شمالدين يانغان ملالار,şimāldın yanǧan mollālar,The mullahs returned from the north.,Солтүстіктен оралған молдалар.,"Муллы, вернувшиеся с севера.",Shimoldan qaytgan mullalar.,Kuzeyden dönen mollalar.,şimāldın yanǧan mollālar,chg,phrase,3,
Ch 8,83,تورفان دا قالغان دوستي,Ṭurfanda qalǧan dostı,her friend who stayed in Turpan,Тұрпанда қалған досы.,"Ее друг, оставшийся в Турфане.",Turponda qolgan do'sti.,Turfan'da kalan dostu.,Ṭurfanda qalǧan dostı,chg,phrase,3,
Ch 8,84,بيز کورکان تنچ زمان,biz körgen tinç zamān,the peaceful time we have seen,Біз көрген тыныш заман.,"Мирное время, которое мы видели.",Biz ko'rgan tinch zamon.,Gördüğümüz huzurlu zaman.,biz körgen tinç zamān,chg,phrase,4,
Ch 8,85,قيلينغان خط,qılınǧan ḫaṭ,a written letter,Жазылған хат.,Написанное письмо.,Yozilgan xat.,Yazılan mektup.,qılınǧan ḫaṭ,chg,phrase,2,
Ch 8,86,شول يردە اولتورادورغان قيز,şol yerde olturadurǧan qız,the girl who is sitting here,Осы жерде отыратын қыз.,"Девушка, сидящая здесь.",Shu yerda o'tiradigan qiz.,Şu yerde oturan kız.,şol yerde olturadurǧan qız,chg,phrase,4,
Ch 8,87,قولانکغە کتادورغان عام يول,Qolañǧa ketedurǧan ʿāmm yol,the highway that goes to Qolang,Қолаңға кететін үлкен жол.,"Большая дорога, ведущая в Коланг.",Qolangga ketadigan umumiy yo'l.,Qolang'a giden ana yol.,Qolañǧa ketedurǧan ʿāmm yol,chg,phrase,4,
Ch 8,88,نياز بی بی ختن دين کليپ خواجەلارنينک باغي دە اولتوردى,Niyāz Bibi Ḫotandın kelip ḫᵛācalarnıñ bāǧıda olturdı,"Niyaz Bibi came from Khotan, and she sat in the orchard of the Khwajas.","Нияз Бибі Хотаннан келіп, қожалардың бағында отырды.",Нияз Биби пришла из Хотана и села в саду ходжей.,"Niyoz Bibi Xo'tandam kelib, xo'jalarning bog'ida o'tirdi.",Niyaz Bibi Hotan'dan gelip hocaların bağında oturdu.,Niyāz Bibi Ḫotandın kelip ḫᵛācalarnıñ bāǧıda olturdı,chg,sentence,7,
Ch 8,89,اولتورغانيدە بر عسکر طرفيدين اولتورولدى,Olturǧanıda bir ʿasker ṭarafıdın öltürüldi,"When she sat down, she was killed by a soldier.",Отырғанында бір сарбаз тарапынан өлтірілді.,"Когда она села, она была убита солдатом.",O'tirganida bir askar tomonidan o'ldirildi.,Oturduğunda bir asker tarafından öldürüldü.,Olturǧanıda bir ʿasker ṭarafıdın öltürüldi,chg,sentence,5,
Ch 8,90,اما نياز بی بی کلکانيدە شول باغقە بر عسکار هم تونکان ايستاب کلکان ايدى,Ämmā Niyāz Bibi kelgenide şol bāǧqa bir ʿasker häm Tungan istep kelgen édi,"However, when Niyaz Bibi arrived, a soldier had come to this orchard looking for Dungans.","Бірақ Нияз Бибі келгенде, бұл баққа дүнгендерді іздеп бір сарбаз да келген еді.","Однако, когда пришла Нияз Биби, в этот сад в поисках дунган пришел и один солдат.","Ammo Niyoz Bibi kelganida, shu bog'ga dungan istab bir askar ham kelgan edi.","Ama Niyaz Bibi geldiğinde, şu bağa Dungan arayan bir asker de gelmişti.",Ämmā Niyāz Bibi kelgenide şol bāǧqa bir ʿasker häm Tungan istep kelgen édi,chg,sentence,13,
Ch 8,91,بر فرقەسى تاش بازاريغە کلکان ايدى,Bir firqası Taş Bāzārıǧa kelgen édi,One group had come to the Stone Market.,Олардың бір тобы Тас Базарына келген еді.,Одна их группа пришла на Каменный базар.,Ularning bir firqasi Tosh Bozoriga kelgan edi.,Bir fırkası Taş Pazarı'na gelmişti.,Bir firqası Taş Bāzārıǧa kelgen édi,chg,sentence,6,
Ch 8,92,تونکانلار بر نچه عمارتلرکە اوت ياقيب تورغان حالدە,Tunganlar bir neçe ʿimāratlerge ot yaqıp turǧan ḥālda,While the Dungans were setting fire to several buildings,Дүнгендер бірнеше ғимаратқа от қойып тұрған халде.,В то время как дунгане поджигали несколько зданий.,Dunganlar bir necha imoratlarga o't yoqib turgan holda.,Dunganlar birkaç binayı ateşe verirken.,Tunganlar bir neçe ʿimāratlerge ot yaqıp turǧan ḥālda,chg,sentence,8,
Ch 8,104,رئيش جمهور,reı̇̄’s-i cumhūr,president of a republic,Республика президенті,Президент республики,Raisi jumhur,Cumhurbaşkanı,reı̇̄’s-i cumhūr,chg,phrase,2,
Ch 8,106,حضور عالي,ḥużūr-ı ʿālı̇̄,one’s esteemed presence,жоғары құзыр,высочайшее присутствие,huzuri oliy,huzur-ı ali,ḥużūr-ı ʿālı̇̄,chg,phrase,2,
Ch 8,133,يکشنبە واقعەسی,Yekşenbih wāqıʿası,The Sunday Incident,Жексенбі оқиғасы,Воскресный инцидент,Yakshanba voqeasi,Pazar Vakası,Yekşenbih wāqıʿası,chg,phrase,2,
Ch 8,134,١٨ نجی جمادى الاخرى يکشنبە سحردە کچە غفلت دين فايدالانيب تورت يوز قدر تونکان فرقەسى چقيب کچيک چت يول لر برلا آط بازاريغە قدر کلدى,18nçi cämādiü'l-āḫir yekşenbih saḥarda keçe ǧaflatdın faydalanıp tört yüz qadar Tungan fırqası çıqıp kiçik çet yollar birlä Aṭ Bāzārıǧa qadar keldi,"On Sunday, the eighteenth of Jumada al-Akhira, in the early morning, taking advantage of the inattention of people at night, about four hundred Dungan soldiers came out and, by means of back roads, came all the way to the Horse Market.","18-ші Жүмәдәл-ахир жексенбі сәскеде, түндегі ғапылдықтан пайдаланып, төрт жүзге жуық дүнген тобы шығып, кіші шет жолдармен Ат Базарына дейін келді.","В воскресенье, 18-го Джумада аль-ахира, рано утром, воспользовавшись ночной беспечностью, около четырехсот дунган вышли и по небольшим окраинным дорогам дошли до Конного базара.","18-Jumodiloxir yakshanba saharda, kecha g'aflatdan foydalanib, to'rt yuzga yaqin dungan firqasi chiqib, kichik chet yo'llar bilan Ot Bozoriga qadar keldi.","18 Cemaziyelahir Pazar günü seher vaktinde, gece gafletinden faydalanıp dört yüz kadar Dungan fırkası çıkıp küçük sapa yollarla At Pazarı'na kadar geldi.",18nçi cämādiü'l-āḫir yekşenbih saḥarda keçe ǧaflatdın faydalanıp tört yüz qadar Tungan fırqası çıqıp kiçik çet yollar birlä Aṭ Bāzārıǧa qadar keldi,chg,sentence,21,
Ch 8,135,موندين بر فرقەسى تاش بازاريغە کلکان ايدى,Mundın bir fırqası Taş Bāzārıǧa kelgen édi,One group of them had come to the Stone Market.,Олардың бір тобы Тас Базарына келген еді.,Одна их группа пришла на Каменный базар.,Ularning bir firqasi Tosh Bozoriga kelgan edi.,Onlardan bir fırkası Taş Pazarı'na gelmişti.,Mundın bir fırqası Taş Bāzārıǧa kelgen édi,chg,sentence,7,
Ch 8,136,عسکرلر طرفی دين آتيلب بر سرايغە قامالديلر,ʿAskerler ṭarafıdın atılıp bir sarāyǧa qamaldılar,They were fired upon by soldiers and were trapped in a serai.,"Сарбаздар тарапынан атылып, бір сарайға қамалды.","Будучи обстрелянными солдатами, они оказались заперты в одном сарае.","Askarlar tomonidan otilib, bir saroyga qamaldilar.",Askerler tarafından ateş edilip bir saraya hapsoldular.,ʿAskerler ṭarafıdın atılıp bir sarāyǧa qamaldılar,chg,sentence,6,
Ch 8,137,بر نچەسى شوندە ثلمت غە اوچراب باقيسى سراى نينک آرقەسينی تيشيب چقيب قاچديلر,Bir neçesi şunda s̱ulmatǧa uçrap bāqı̇̄si sarāynıñ arqasını téşip çıqıp qaçdılar,"Some of them found a hole in the wall there, while the remainder broke through the back of the serai, exited, and fled.","Бірнешеуі сонда тесікке ұшырап, қалғаны сарайдың арқасын тесіп шығып қашты.","Несколько из них наткнулись там на дыру, а остальные, пробив заднюю часть сарая, выбрались и сбежали.","Bir nechasi shunda teshikka uchrab, boqiysi saroyning orqasini teshib chiqib qochdilar.","Birkaçı şurada bir deliğe rastlayıp, kalanı sarayın arkasını delip çıkıp kaçtılar.",Bir neçesi şunda s̱ulmatǧa uçrap bāqı̇̄si sarāynıñ arqasını téşip çıqıp qaçdılar,chg,sentence,11,
Ch 8,138,آط بازاريدە قالغانلرى پايناف ده بر نچه عمارت لرکە اوت ياقيب تورغان حالدە تيشوك دروازە طرف دين عسکرلرمیز يتيب کليب هجوم باشلاب اوندين زيادەسينی آتيب باقيسى قاچيب عسکرلر طرفدين آرقەدين تعقيب اتيلدى,Aṭ Bāzārıda qalǧanları Paynafda bir neçe ʿimāratlerge ot yaqıp turǧan ḥālda Tişük Darwāza ṭarafdın ʿaskerlerimiz yetip kelip hücūm başlap ondın ziyādasını atıp bāqı̇̄si qaçıp ʿaskerler ṭarafdın arqadın taʿqı̇̄b etildi,"While those who remained in the Horse Market were setting fire to several buildings in Paynap, our soldiers arrived from the Tishuk Gate, began an attack, shot more than ten of them, and so the rest of them fled and were pursued by the soldiers.","Ат Базарында қалғандары Пайнапта бірнеше ғимаратқа от қойып тұрған халде, Тесік Дарбаза тарапынан сарбаздарымыз жетіп келіп, шабуыл бастап, оннан астамын атып, қалғаны қашып, сарбаздар тарапынан арқадан қуғындалды.","В то время как оставшиеся на Конном базаре поджигали несколько зданий в Пайнапе, наши солдаты прибыли со стороны ворот Тишук, начали атаку, застрелили более десяти из них, а остальные бежали и преследовались солдатами с тыла.","Ot Bozorida qolganlari Paynapda bir necha imoratlarga o't yoqib turgan holda, Teshik Darvoza tarafidan askarlarimiz yetib kelib, hujum boshlab, o'ndan ziyodasini otib, boqiysi qochib, askarlar tomonidan orqadan ta'qib etildi.","At Pazarı'nda kalanları Paynap'ta birkaç binayı ateşe verir haldeyken, Deşik Kapı tarafından askerlerimiz yetişip gelip hücuma başlayıp, ondan fazlasını vurup, kalanı kaçıp askerler tarafından arkadan takip edildi.",Aṭ Bāzārıda qalǧanları Paynafda bir neçe ʿimāratlerge ot yaqıp turǧan ḥālda Tişük Darwāza ṭarafdın ʿaskerlerimiz yetip kelip hücūm başlap ondın ziyādasını atıp bāqı̇̄si qaçıp ʿaskerler ṭarafdın arqadın taʿqı̇̄b etildi,chg,sentence,29,
Ch 8,139,سکز تاشغە کلکاندە خچرچی طرفداکى اوزبك عسکرلرى کليب تونکانلارنی ايکي طرفدين آتيب اليکدين زيادەسى اولتورولوب کوبلرى يارالانيب ينکى شهر ايچي گە قاچديلر,Segiz Taşǧa kelgende Ḫaçarçı ṭarafdaki Özbek ʿaskerleri kelip Tunganlarnı éki ṭarafdın atıp ellikdin ziyādası öltürüp köpleri yaralanıp Yañı şahar içige qaçdılar,"When they came to Eight Stones, Uzbek soldiers from Khujand arrived, shot at the Dungans from two sides, killed more than fifty of them, wounded many, and they fled into the New City.","Сегіз Тасқа келгенде Ходжент тарапындағы өзбек сарбаздары келіп, дүнгендерді екі жақтан атып, елуден астамын өлтіріп, көпшілігін жаралап, Жаңашаһар ішіне қашты.","Когда они пришли к Секкиз Таш, узбекские солдаты со стороны Худжанда пришли и обстреляли дунган с двух сторон, убив более пятидесяти и ранив многих, и они бежали внутрь Нового города.","Sakkiz Toshga kelganda Xo'jand tarafidagi o'zbek askarlari kelib, dunganlarni ikki tarafdan otib, ellikdan ziyodasi o'ldirilib, ko'plari yaralanib, Yangishahar ichiga qochdilar.","Sekiz Taş'a geldiğinde Hucend tarafındaki Özbek askerleri gelip Dunganları iki taraftan ateşle vurup, elliden fazlası öldürülüp çoğu yaralanıp Yenişehir içine kaçtılar.",Segiz Taşǧa kelgende Ḫaçarçı ṭarafdaki Özbek ʿaskerleri kelip Tunganlarnı éki ṭarafdın atıp ellikdin ziyādası öltürüp köpleri yaralanıp Yañı şahar içige qaçdılar,chg,sentence,21,
Ch 8,140,بش آتار اون آتار اون ملطيق بر نچە کتە آطلر غنيمت اليندى,Beş atar on atar on mılṭıq bir neçe kättä aṭlar ǧanı̇̄mät alındı,"Five-shooters, ten-shooters, ten rifles, and some large horses were taken as booty.","Бес атар, он атар, он мылтық, бірнеше үлкен аттар олжаға алынды.","Пятизарядные, десятизарядные [пистолеты], десять винтовок и несколько больших лошадей были взяты в качестве трофеев.","Besh otar, o'n otar, o'n miltiq, bir necha katta otlar o'lja olindi.","Beşli, onlu, on tüfek, birkaç büyük at ganimet alındı.",Beş atar on atar on mılṭıq bir neçe kättä aṭlar ǧanı̇̄mät alındı,chg,sentence,12,
Ch 8,141,بر نچە اسيرلر توتولدى,Bir neçe äsı̇̄rler tutuldı,Some prisoners were taken.,Бірнеше тұтқындар ұсталды.,Было захвачено несколько пленных.,Bir necha asirlar tutildi.,Birkaç esir tutuldu.,Bir neçe äsı̇̄rler tutuldı,chg,phrase,4,
Ch 8,142,ينکى شهر ٤ نجی شعبان سەشنبە کونی تازغون يوليدە عسکرلريمز تونکانلر برلە مقابلە بولوپ اوروشوب نتيجەدە تونکانلردين يکرماسى اتيلدى,Yañı şahar 4-nçi şaʿbān seşenbih küni Tazǧun yolıda ʿaskerlerimiz Tunganlar birlä muqābala bolup uruşup nätı̇̄cede Tunganlardın yigirmesi atıldı,"On the fourth of Shaban, Tuesday, on the road to Tazghun, our soldiers fought the Dungans, and ultimately twenty Dungans were shot.","Жаңашаһар, 4-ші Шағбан сейсенбі күні Тазғұн жолында сарбаздарымыз дүнгендермен қақтығыс болып, ұрысып, нәтижеде дүнгендерден жиырмасы атылды.","Новый город, 4-го Шабана, во вторник, на дороге в Тазгун наши солдаты вступили в противостояние с дунганами, сразились, и в результате двадцать дунган были застрелены.","Yangishahar, 4-sha'bon seshanba kuni Tazg'un yo'lida askarlarimiz dunganlar bilan muqobala bo'lib urushib, natijada dunganlardan yigirmasi otildi.","Yenişehir, 4 Şaban Salı günü Tazgun yolunda askerlerimiz Dunganlarla karşılaşıp vuruşup, neticede Dunganlardan yirmisi vuruldu.",Yañı şahar 4-nçi şaʿbān seşenbih küni Tazǧun yolıda ʿaskerlerimiz Tunganlar birlä muqābala bolup uruşup nätı̇̄cede Tunganlardın yigirmesi atıldı,chg,sentence,18,
Ch 8,143,قالغانی ينکى شهرکە قاچديلر,Qalǧanı Yañı şaharge qaçdılar,The rest fled to the New City.,Қалғаны Жаңашаһарға қашты.,Остальные бежали в Новый город.,Qolgani Yangishaharga qochdilar.,Kalanı Yenişehir'e kaçtılar.,Qalǧanı Yañı şaharge qaçdılar,chg,phrase,4,
Ch 8,144,بو اوروشدە عسکرلريمز يتە دانە يخشی بش اتار اون اتار ملتق غنيمت الديلر,Bu uruşda ʿaskerlerimiz yettä dāna yaḫşı beş atar on atar mıltıq ǧanı̇̄met aldılar,"In this battle, our soldiers seized seven good five-shooters, ten-shooters, and rifles.","Бұл ұрыста сарбаздарымыз жеті дана жақсы бес атар, он атар, мылтық олжа алды.","В этом бою наши солдаты захватили семь штук хороших пятизарядных, десятизарядных [пистолетов] и винтовок.","Bu urushda askarlarimiz yetti dona yaxshi besh otar, o'n otar, miltiq o'lja oldilar.","Bu vuruşmada askerlerimiz yedi tane iyi beşli, onlu, tüfek ganimet aldılar.",Bu uruşda ʿaskerlerimiz yettä dāna yaḫşı beş atar on atar mıltıq ǧanı̇̄met aldılar,chg,sentence,13,
Ch 8,145,ايکي نفر اسير توتولدى,éki näfär äsı̇̄r tutuldı,Two prisoners were taken.,Екі адам тұтқынға алынды.,Двое пленных были захвачены.,Ikki nafar asir tutildi.,İki nefer esir tutuldu.,éki näfär äsı̇̄r tutuldı,chg,phrase,4,
Ch 8,146,وکيل عبداللطيف افندى نينک تشريفی,wäkı̇̄l ʿAbdullaṭı̇̄f Äfendiniñ taşrı̇̄fi,The Honor Granted to the Representative Mr. Abdullatif,Уәкіл Абдуллатиф Әпендінің құрметтелуі.,"Честь, оказанная представителю господину Абдуллатифу.",Vakil Abdullatif Afandining tashrifi.,Vekil Abdüllatif Efendi'nin teşrifi.,wäkı̇̄l ʿAbdullaṭı̇̄f Äfendiniñ taşrı̇̄fi,chg,phrase,4,
Ch 8,147,١٠ نجی شعباندە رئيس جمهور حضرتلرى نينک حضور عاليلريدين عالي يارلقلر برلن محترم وکيل عبداللطيف افندى باش وکالت غە تشريف بيورديلر,10-nçi şaʿbānda räʾı̇̄s-i cumhūr Ḥażretleriniñ ḥużūr-ı ʿālı̇̄leridin ʿālı̇̄ yarlıqlar birlän muḥtaram wäkı̇̄l ʿAbdullaṭı̇̄f Äfendi baş wäkālatǧa taşrı̇̄f buyurdılar,"On the tenth of Shaban, by the orders of His Excellency, the Great President of the Republic, the respected representative Mr. Abdullatif was granted the position of Chief Representative.","10-шы Шағбанда Республика Президенті Хазреттерінің жоғары құзырынан, жоғары жарлықтармен құрметті уәкіл Абдуллатиф Әпенді бас уәкілдікке тағайындалды.","10-го Шабана, высочайшим указом Его Превосходительства Президента Республики, уважаемый представитель господин Абдуллатиф был удостоен должности главного представителя.",10-sha'bonda Raisi jumhur hazratlarining huzuri oliylaridan oliy yorliqlar bilan muhtaram vakil Abdullatif Afandi bosh vakolatga tashrif buyurdilar.,10 Şaban'da Reis-i Cumhur Hazretlerinin huzur-ı alilerinden ali yarlıklar ile muhterem vekil Abdüllatif Efendi baş vekalete teşrif buyurdular.,10-nçi şaʿbānda räʾı̇̄s-i cumhūr Ḥażretleriniñ ḥużūr-ı ʿālı̇̄leridin ʿālı̇̄ yarlıqlar birlän muḥtaram wäkı̇̄l ʿAbdullaṭı̇̄f Äfendi baş wäkālatǧa taşrı̇̄f buyurdılar,chg,sentence,18,
Ch 8,148,مذکور افندى نينک تشريفی مناسبت بلە باش وکالتدە قومندانلرنينک فوق العادە مجلسلرى بولدى,Mäẕkūr äfendiniñ täşrı̇̄fi munāsabat bilä baş wäkālatda qomandanlarnıñ fawquʾl-ʿāda mäclisleri boldı,"On the occasion of this honor, the commanders within the Chief Representative’s office convened an extraordinary meeting.",Аталған әпендінің келуіне орай бас уәкілдікте қолбасшылардың төтенше мәжілістері болды.,По случаю визита упомянутого господина в главном представительстве состоялось чрезвычайное собрание командиров.,Mazkur afandining tashrifi munosabati bilan bosh vakolatda qo'mondonlarning favqulodda majlislari bo'ldi.,Mezkur efendinin teşrifi münasebetiyle baş vekalette komutanların fevkalade meclisleri oldu.,Mäẕkūr äfendiniñ täşrı̇̄fi munāsabat bilä baş wäkālatda qomandanlarnıñ fawquʾl-ʿāda mäclisleri boldı,chg,sentence,11,
Ch 8,149,ارتەسى محترم وکيل افندى يانکى شهرغە چقيب آندە توقيف ايتلغاني اوچون تونکانلر ايلە يانکيدين سوقوش باشلاندى,Ertesi muḥtaram wäkı̇̄l äfendi Yañı şaharǧa çıqıp anda tawqı̇̄f étilǧanı üçün Tunganlar ilä yañıdin soquş başlandı,"The next day, the respected representative Mr. Abdullatif went to the New City, and there, because of his prior arrest, he began the fight with the Tungans anew.","Ертесіне құрметті уәкіл әпенді Жаңашаһарға шығып, сонда тұтқындалғаны үшін дүнгендермен жаңадан соғыс басталды.","На следующий день уважаемый господин представитель отправился в Новый город, и там, из-за его предыдущего ареста, снова начался бой с дунганами.","Ertasi muhtaram vakil afandi Yangishaharga chiqib, anda tavqif etilgani uchun Dunganlar ila yangidan so'qish boshlandi.","Ertesi muhterem vekil efendi Yenişehir'e çıkıp, orada tevkif edildiği için Dunganlar ile yeniden çarpışma başlandı.",Ertesi muḥtaram wäkı̇̄l äfendi Yañı şaharǧa çıqıp anda tawqı̇̄f étilǧanı üçün Tunganlar ilä yañıdin soquş başlandı,chg,sentence,16,
Ch 9,4,غولجەنينک واقعاتلارينينک بياني,Ǧulcanıñ wāqıʿātlarınıñ bayānı,A Narrative of Events in Ghulca,Ғұлжа оқиғаларының баяны,Повествование о событиях в Кульдже,G‘ulja voqealarining bayoni,Gulca olaylarının beyanı,Ǧulcanıñ wāqıʿātlarınıñ bayānı,chg,phrase,3,
Ch 9,8,احمت خان,Aḥmat Ḫan,Ahmad Khan,Ахмет хан,Ахмат-хан,Ahmad xon,Ahmet Han,Aḥmat Ḫan,chg,phrase,2,
Ch 9,9,توختە آخون,Toḫta Āḫūn,Tokhta Akhund,Тоқта ахун,Тохта-ахун,To‘xta oxun,Tohta Ahun,Toḫta Āḫūn,chg,phrase,2,
Ch 9,10,ملا شوکت آخوند,Mollā şäwkät Āḫūnd,Mullah Shawkat Akhund,Молла Шәукет ахун,Мулла Шавкат-ахун,Mulla Shavkat oxun,Molla Şevket Ahun,Mollā şäwkät Āḫūnd,chg,phrase,3,
Ch 9,22,بولاق بشي,Bulaq Başı,Bulaq Beshi,Бұлақ Басы,Булак-Баши,Buloqboshi,Bulakbaşı,Bulaq Başı,chg,phrase,2,
Ch 9,23,بولاق بشي,Bulaq Beşi,the head of the spring,бұлақ басы,исток родника,buloq boshi,pınar başı,Bulaq Beşi,chg,phrase,2,
Ch 9,25,قاضي عسکر,qāżı̇̄ ʿasker,chief judge,қазы әскер,кази-аскер,qozi askar,kazasker,qāżı̇̄ ʿasker,chg,phrase,2,
Ch 9,26,قوتلوق  باچکير,Qutluq Baçkir,Qutluq Bachkir,Құтлық Бәчкір,Кутлук Бачкир,Qutluq Bachkir,Kutluk Baçkir,Qutluq Baçkir,chg,phrase,2,
Ch 9,62,قادر خان باشليق نياز ميراب مريم بي بي لار,"Qādır Ḫan başlıq Niyāz Mı̇̄rāb, Märyäm Bibiler","Niyaz Mirab and Maryam Bibi, led by Qadir Khan","Қадыр хан бастаған Нияз мираб, Мәриям бибілер",Нияз-мираб и Марьям-биби под предводительством Кадыр-хана,"Qodir xon boshliq Niyoz mirob, Maryam bibilar","Kadir Han önderliğinde Niyaz Mirab, Meryem Bibiler","Qādır Ḫan başlıq Niyāz Mı̇̄rāb, Märyäm Bibiler",chg,sentence,7,
Ch 9,63,ملا خان باشليق تونگان لار,Mollā Ḫan başlıq Tunganlar,Dungans under the leadership of Mullah Tokhta,Молла хан бастаған дүнгендер,Дунгане под предводительством Мулла-хана,Mulla xon boshliq tunganlar,Molla Han önderliğindeki Tunganlar,Mollā Ḫan başlıq Tunganlar,chg,phrase,4,
Ch 9,64,احمت خان باشليق بو اوچ,Aḥmat Ḫan başlıq bu üç,"these three, led by Ahmad Khan",Ахмет хан бастаған бұл үшеуі,Эти трое во главе с Ахмат-ханом,Ahmad xon boshliq bu uchov,Ahmet Han önderliğindeki bu üçü,Aḥmat Ḫan başlıq bu üç,chg,sentence,5,
Ch 9,72,توققوز ترا,Toqquz Tara,Toqquz Tara,Тоғызтара,Токкуз-Тара,To‘qqiztara,Dokuztara,Toqquz Tara,chg,phrase,2,
Ch 9,90,چافان باشين,çafan Başin,Chapan Bashin,Чапан Башин,Чапан-Башин,Chapan Bashin,Çapan Başin,çafan Başin,chg,phrase,2,
Ch 9,91,تاش دابان,Taş Daban,Tash Daban,Тасдабан,Таш-Дабан,Toshdabon,Taşdaban,Taş Daban,chg,phrase,2,
Ch 9,93,کونک کس,Kuñ Kis,Kung Kis,Кұң Кис,Кунг-Кис,Kung Kis,Kung Kis,Kuñ Kis,chg,phrase,2,
